标题,引言,作者,出版书,日期,文章属性,关键词,下载数量,引用数量
机器学习在特殊教育研究中的应用与展望  CNKI文献,"1 引言 机器学习作为人工智能的重要分支，是一种通过算法使机器在经验数据中自动学习规律的计算机程序[1],其核心在于通过数据驱动的方法论，从大量数据中提取关键特征，并基于这些特征构建模型，从而在未知情境中做出智能响应[2]。在教育领域，机器学习已展现出其巨大的潜力，尤其在支持服务、教学预测、教育环境、教育评价、教学模式等方面[3],其优势已经得到了...",陈建军 李泓仪 刘佃振 李涛 宿淑华,《中国特殊教育》,2024年08期,期刊,关键词：机器学习 / 特殊教育研究 / 赋能 / 未来展望,下载（123）,被引（0）
机器学习在环境分析检测中的应用研究进展  CNKI文献,人类工业革命以来，许多环境问题都直接或间接与化学品有关。化学品污染已被联合国环境规划署列为影响人类生存与发展的全球重大环境问题之一[1]。为了评价化学品排放到环境后对环境造成的影响，人们必须准确、及时地了解当前环境中已经发现的有毒物质浓度是否超过安全阈值？还存在哪些潜在的有毒物质？它们从何而来？进入环境后发生什么变化？可能造成什么危害？而要回答好这些问题，环境分析检测技术必不可缺。环境分析检测技术...,刘思思 张波 李星颖 辛蕾 应光国 陈长二,《分析测试学报》,2024年08期,期刊,关键词：环境分析化学 / 环境检测 / 机器学习 / 新污染物,下载（410）,被引（0）
机器学习在信息系统管理中的应用分析  CNKI文献,信息系统是一个由计算机硬件、软件、数据和用户组成的系统，用于支持组织的各种业务和决策。随着多组织信息化的不断推进，信息系统在组织中扮演着越来越重要的角色。然而，信息系统管理仍然面临许多挑战，如基础设施的优化、数据的管理和分析、信息安全和用户支持等问题[1-3]。为了解决这些问题，研究者开始关注机器学习在信息系统管理中的应用。机器学习是一种基于数据驱动的算法，通过学习@...,李一 李爽,《科学咨询(科技·管理)》,2024年08期,期刊,关键词：机器学习 / 信息系统 / 管理应用,下载（23）,被引（0）
机器学习模型在软件工程中的研究与应用  CNKI文献,0 引言 随着大数据与人工智能的不断发展及大数据时代的到来，机器学习技术在软件工程中的研究日益广泛，涉及医疗信息、图像和语音识别及金融风控等多个领域。机器学习模型可以通过对数据集中的大量数据学习和分析，挖掘出数据中存在的规律，进而搭建预测分析模型，提高软件开发的效率和质量，推动软件工程的智能化发展。 1 机器学习概述 机器学习是人工...,王一丁 曾珺 马培兴,《信息与电脑(理论版)》,2024年15期,期刊,关键词：机器学习 / 数据分析 / 软件工程,下载（39）,被引（0）
机器学习伦理风险及其防控治理  CNKI文献,"目前，人类已迈入人工智能(Artifical Intelligence, 简称AI)时代，正向着智能化社会持续推进。牛津大学信息哲学教授卢西亚诺·弗洛里迪(Luciano Floridi)认为，人工智能是继哥白尼革命、达尔文革命、神经科学革命之后人类自我认知的“第四次革命”①。作为人工智能的前沿成果，ChatGPT自发布之日起五日内用户就超过了100万，截至2023年12月，ChatGPT 拥有约...",夏明月 陈冬阳,《山东社会科学》,2024年08期,期刊,关键词：机器学习 / 伦理风险 / 人工智能 / 治理,下载（207）,被引（0）
机器学习支持下的入侵检测技术探究  CNKI文献,0 引言 当前互联网已经成为人们日常生活中的重要组成部分，然而，网络入侵威胁日益严重，对个人隐私泄露与社会公共安全均造成了严重影响，因此需要及时对网络入侵采取有效的检测技术，从而确保网络安全。目前计算机网络系统防御入侵的主要手段是软硬件相结合的入侵检测系统，入侵检测系统能够通过对入侵行为、网络日志以及其他网络上获取的信息进行有效分析与识别，一旦检测到对网络的入侵意图，立即采取适当的解决方法进行处...,肖学玲 肖远军,《信息记录材料》,2024年08期,期刊,关键词：机器学习 / 入侵检测技术 / 网络安全,下载（41）,被引（0）
人工智能“机器学习”教学逆向设计的实践与思考  CNKI文献,随着科技的飞速发展，人工智能正深刻影响着我们生活的各个领域，人工智能教育的重要意义不言而喻。机器学习作为人工智能的核心分支，其教学对学生理解AI的概念和技能至关重要，如何在中学阶段采用合适的教学方式引导学生学习和理解人工智能，是目前信息技术教师积极探索和研究的方向。在传统教学设计中学生往往处于被动的学习状态，而逆向教学设计以终为始，从学习结果出发，确...,吴烜,《中国信息技术教育》,2024年15期,期刊,关键词：逆向设计 / 人工智能 / 机器学习,下载（47）,被引（0）
指向计算思维培养的人工智能教学实践研究——以初中《探秘机器学习》一课为例  CNKI文献,人工智能技术发展至今，已在图形识别、语音识别、生物识别、生成式人工智能(AIGC)等众多领域得到广泛应用，并展现出机器学习的突破性成就。我国近年来高度重视人工智能赋能教育的战略部署。自2017年国务院发布《新一代人工智能发展规划》以来，已逐步将人工智能教育纳入基础教育课程体系。《义务教育信息科技课程标准(2022年)》设立了人工智能的独立模块，全面覆盖应用实践、计算原理、伦理安全等内容...,原嫄,《中国现代教育装备》,2024年14期,期刊,关键词：人工智能 / 机器学习 / 图形化编程 / 计算思维,下载（195）,被引（0）
机器学习在智慧农业中的应用  CNKI文献,0 引言 目前我国尤其是西北地区农业呈现出作物多样性和对水资源的依赖性[1]。由于水资源相对匮乏，加之气候变化带来的不确定性，农业生产面临诸多挑战[2-3]。土地资源的利用压力也随着人口增长和经济发展而增大，这进一步要求农业实现可持续发展[4-5]。智慧农业的引入，尤其是机器学习技术的应用，为农业生产力和效率的提升提供了新的可能性。精准农业的实践，可以优化水资源和肥料的使用，同时预测...,杨嘉鹏 董荣,《农业工程》,2024年07期,期刊,关键词：机器学习 / 智慧农业 / 农业应用 / 农业信息化,下载（248）,被引（0）
类型化视角下机器学习的合理使用制度研究  CNKI文献,一、问题的提出 人工智能技术的飞跃式发展拉开了新一轮技术革命的序幕，与公有领域的信息不同，版权作品具有内容丰富、信息优质的特点，利用版权作品进行数据训练、优化算法是人工智能机器学习中必不可少的环节。目前，人工智能行业的发展正经历互联网发展早期“非法兴起”的阶段。1 1 在此背景下，有关机器学习的版权纠纷不断涌现。2024年2月28日，广州互联网法院就“全球AIGC平台...,江璐迪,《电子知识产权》,2024年07期,期刊,关键词：人工智能 / 机器学习 / 合理使用 / 技术创新,下载（112）,被引（0）
基于CDIO理念的研究生“机器学习”课程教学改革探索  CNKI文献,机器学习（Machine Learning）作为人工智能领域的一个重要分支，在过去几十年中取得了显著的发展。随着大数据、深度学习和自动化技术的兴起，机器学习已在各行各业产生了深远影响，越来越多行业开始认识到机器学习在社会工作中的巨大潜力。作为未来科技创新的关键驱动力之一，研究生专业知识和技能的培养已成为高等教育的当务之急[1]。 [1] 然而，传...,刘健 王雪松 袁小平,《科教导刊》,2024年19期,期刊,关键词：CDIO理念 / 机器学习课程 / 研究生 / 教学改革,下载（52）,被引（0）
数据科学与大数据技术专业机器学习课程的教学改革探索  CNKI文献,"一、引言 在当今信息爆炸的时代，大数据产业已成为推动社会进步和经济发展的战略性产业。[1]我国高度重视大数据产业发展，工业和信息化部发布《“十四五”大数据产业发展规划》,推动实施国家大数据战略。[2]各行各业对大数据处理与应用的需求正在迅速增长，相应地，对相关专业人才的需求也在日益增加。2016年2月，教育部新增数据科学与大数据技术本科专业，北京大学、对外经济贸易大学、中南大学成为首批开设院校。...",甘炎灵 徐鲁辉 夏海英,《教育观察》,2024年19期,期刊,关键词：机器学习 / 数据科学与大数据技术 / 教学改革,下载（118）,被引（0）
基于机器学习预测土壤-作物系统中镉和砷生物有效性研究  CNKI文献,中南林业科技大学 生命与环境科学学院 硕士 2024 基于机器学习预测土壤-作物系统中镉和砷生物有效性研究 Prediction of the Bioavailability of Cadmium and Arsenic in Soil-Crop Systems Based on Machine Learning Methods 陈强 黄顺红 环境工程（专业学位） 土...,陈强 导师:黄顺红,中国优秀硕士学位论文全文数据库, 2024-05-01 ,中国优秀硕士学位论文全文数据库,关键词：生物有效性 / 镉 / 砷 / 小麦,下载（62）,被引（0）
基于机器学习的土壤As（Ⅴ）吸附与污染风险预测研究  CNKI文献,"中南林业科技大学 环境科学与工程学院 硕士 2024 基于机器学习的土壤As（Ⅴ）吸附与污染风险预测研究 Research on Soil as(Ⅴ) Adsorption and Pollution Risk Prediction Based on Machine Learning 周洲 冯冲凌；张轩 环境工程（专业学位） 湿地与矿山生态修复 砷(Arsenic,...",周洲 导师:冯冲凌;张轩,中国优秀硕士学位论文全文数据库, 2024-05-01 ,中国优秀硕士学位论文全文数据库,关键词：砷吸附 / 机器学习算法 / 土壤理化性质 / 风险评估,下载（60）,被引（0）
机器学习辅助氮掺杂生物质炭吸附去除水体中的重金属铅污染  CNKI文献,中南林业科技大学 生命与环境科学学院 硕士 2024 机器学习辅助氮掺杂生物质炭吸附去除水体中的重金属铅污染 Machine Learning-assisted Nitrogen-doped Biochar Adsorption to Remove Heavy Metal Lead Pollution in Water 李子石 苏荣葵 环境工程（专业学位） 水染控制工...,李子石 导师:苏荣葵,中国优秀硕士学位论文全文数据库, 2024-05-01 ,中国优秀硕士学位论文全文数据库,关键词：生物质炭 / 重金属 / 机器学习 / 吸附效率,下载（91）,被引（0）
基于机器学习的电商精准营销研究  CNKI文献,第一章 绪论 1 第一章 绪论 1.1 研究背景及意义 1.1.1 研究背景 随着互联网的普及，大数据时代下我国电子商务得到了快速的发展。在当 今社会，电子商务是企业与消费者之间的一种重要的交易方式。在中国，传统 的营销观念、方法和手段都无法与大规模的快速扩张和数量的快速增长相匹配， 因此，电子商务的营销方式正在逐步改变，从过去的粗放式发展到精确的集约 型，从而产生了精准营销。“...,叶甜甜 导师:苏海涛,中国优秀硕士学位论文全文数据库, 2024-06-05 ,中国优秀硕士学位论文全文数据库,关键词：电子商务 / 精准营销 / 机器学习 / 推荐算法,下载（174）,被引（0）
机器学习结合生物信息学的胃癌关键基因选择研究  CNKI文献,机器学习结合生物信息学的胃癌关键基因选择研究 5 中英文缩略词表 缩写词 英文全称 中文全称 RF Random forest 随机森林 SVM-RFE Recursive feature elimination by support vector machine 支持向量机递归特征消除 LASSO Least absolute shrinkage and s...,王泽朋 导师:李四海,中国优秀硕士学位论文全文数据库, 2024-03-01 ,中国优秀硕士学位论文全文数据库,关键词：胃癌 / 特征筛选 / 关键基因 / 分类模型,下载（42）,被引（0）
基于机器学习的可转债多因子量化策略设计  CNKI文献,中南财经政法大学 硕士 2023 基于机器学习的可转债多因子量化策略设计 Design of Multi-factor Quantitative Strategy for Convertible Bonds Based on Machine Learning 邓小洪 凌士勤；杨光星 金融（专业学位） 量化投资 作为我国资本市场重要组成部分和中小企业重要融资手段的可转债...,邓小洪 导师:凌士勤;杨光星,中国优秀硕士学位论文全文数据库, 2023-06-01 ,中国优秀硕士学位论文全文数据库,关键词：可转债 / 多因子 / 量化投资 / 机器学习,下载（14）,被引（0）
基于盈余公告事件的机器学习选股策略研究  CNKI文献,"中南财经政法大学 硕士 2023 基于盈余公告事件的机器学习选股策略研究 Research on Machine Learning Stock Selection Strategy Based on Earnings Announcement Events 王涛 凌士勤 金融工程 量化投资 随着我国资本市场的成熟和发展,量化交易与人工智能在A股上扮演着中越来越重要的角...",王涛 导师:凌士勤,中国优秀硕士学位论文全文数据库, 2023-06-01 ,中国优秀硕士学位论文全文数据库,关键词：盈余公告 / 多因子模型 / XGBoost模型,下载（5）,被引（0）
利用股票基本面因子改进的动量策略  CNKI文献,"中南财经政法大学 硕士 2023 利用股票基本面因子改进的动量策略 Improved Momentum Strategy Using Stock Fundamental Factors 基于机器学习方法 Based on Machine Learning 尹涵 凌士勤 金融工程 量化投资 随着我国资本市场的不断发展,机器学习与量化投资也逐步走入了人们的...",尹涵 导师:凌士勤,中国优秀硕士学位论文全文数据库, 2023-06-01 ,中国优秀硕士学位论文全文数据库,关键词：动量 / 机器学习 / 量化投资,下载（5）,被引（0）
基于机器学习的高血压肾病预测模型研究  CNKI文献,"重庆医科大学 硕士 2023 R544.1 基于机器学习的高血压肾病预测模型研究 Machine Learning-based Prediction Model for Hypertensive Nephropathy 王萧 王惠来 重庆医科大学附属大学城医院 医学信息学 目的:高血压肾病是由原发性高血压引起的肾脏结构和功能损害。如果发现不及时,干预滞后,很可能发展...",王萧 导师:王惠来,中国优秀硕士学位论文全文数据库, 2023-05-01 ,中国优秀硕士学位论文全文数据库,关键词：原发性高血压 / 高血压肾病 / 机器学习 / 预测模型,下载（15）,被引（0）
基于可解释机器学习的公司债券违约预测研究  CNKI文献,"东南大学 硕士 2023 F832.5 基于可解释机器学习的公司债券违约预测研究 Corporate Bond Default Prediction Based on Explainable Machine Learning 唐欣 唐攀 金融学 金融工程 尹威 近年来,习近平总书记多次强调金融业向实体经济输血的重要性;2021年表决通过的“十四五”规划中也明确提出...",唐欣 导师:唐攀,中国优秀硕士学位论文全文数据库, 2023-05-25 ,中国优秀硕士学位论文全文数据库,关键词：公司债违约 / 违约影响因素 / 机器学习模型 / 可解释机器学习模型,下载（33）,被引（0）
基于机器学习的光催化去除NO性能预测及模型可解释性研究  CNKI文献,"第一章 绪论 1 第一章 绪论 1.1 研究背景及意义 良好的大气环境是确保人类健康和社会发展的先决条件。然而，当今全球许多 地区依然存在高于世界卫生组织（WHO）空气质量指导值的细颗粒物（PM2.5）浓 度以及不断增加的臭氧（O3）污染[1, 2]。这种污染状况会导致呼吸系统健康产生不 良影响，并对许多地区的农作物生长造成破坏[3]。作为形成 PM2.5 和 O3 的关键前驱 ...",李静 导师:孙艳娟,中国优秀硕士学位论文全文数据库, 2024-03-31 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 石墨相氮化碳 / 铋系材料 / 光催化,下载（37）,被引（0）
基于机器学习模型组合的汇率预测研究  CNKI文献,第一章 绪论 1 第一章 绪论 1.1 选题背景与选题意义 1.1.1 选题背景 作为国际金融和经济联系的桥梁，在制定金融政策和指导投资决策方面，汇 率已经渗透到各个经济领域，扮演着日益重要的角色。随着越来越多的国家开始 采用浮动汇率制作为本国货币的定价体系，各国的汇率变化将极大地影响各国政 府、金融机构、进出口企业以及投资者的决策，越来越多的决策者和学者将主要 精力放在了汇率预...,李佳颖 导师:杨政,中国优秀硕士学位论文全文数据库, 2024-04-23 ,中国优秀硕士学位论文全文数据库,关键词：汇率预测 / 机器学习 / 组合模型 / 因子贡献,下载（54）,被引（0）
基于机器学习的304不锈钢组织性能预报  CNKI文献,"太原科技大学 机械工程学院 硕士 2024 TG335 基于机器学习的304不锈钢组织性能预报 Prediction of Microstructure and Properties of 304 Stainless Steel Based on Machine Learning 樊鹏飞 姬亚锋 机械（专业学位） 南伟杰 随着工业化和城市化进程的加速,以及人们对于...",樊鹏飞 导师:姬亚锋,中国优秀硕士学位论文全文数据库, 2024-05-01 ,中国优秀硕士学位论文全文数据库,关键词：不锈钢 / 机器学习 / 组织性能预测 / 晶体塑形有限元,下载（77）,被引（0）
基于机器学习的增材制造用高温合金设计：研究现状与未来趋势  CNKI文献,"引 言 增材制造(Additive Manufacturing, AM)是一种基于三维数字模型数据，通过逐层添加材料的方式来构建三维实体的制造技术。增材制造技术彻底改变了金属构件的制造方式，通过增材制造设备能够实现高度复杂几何形状零件的一体化制备[1-3];同时，通过局部工艺变化，可以实现微观结构与性能的局部变化，这种制造方式可以实现复杂结构的高精度制造，从而提高产品的性能和品质。尽管经过工业界...",穆亚航 梁静静 李金国 周亦胄 孙晓峰,《智能安全》,2024年02期,期刊,关键词：机器学习 / 合金设计 / 高温合金 / 增材制造,下载（220）,被引（0）
机器学习方法在热工学课程教学中的应用  CNKI文献,人工智能(Artificial Intelligence，简称AI)是一门研究如何使计算机系统具备智能行为的学科。它旨在使计算机模拟和执行人类智力任务，如学习、推理、问题解决、感知和语言理解。AI的发展依赖于大数据、机器学习、深度学习和先进的算法。其中机器学习是人工智能和计算机科学的重要分支，可以通过统计学方法对算法进行训练，使其对具体问题进行分类或...,韩超灵 王志荣,《科学咨询(教育科研)》,2024年06期,期刊,关键词：热工学 / 机器学习方法 / 课程教学 / 改革,下载（31）,被引（0）
利用机器学习的GNSS欺骗检测综述  CNKI文献,"随着全球卫星导航系统（global navigation satellite system,GNSS）的不断发展，其应用领域也不断扩展，在无人驾驶[1-2]、无人作战[3-4]、精密制导[5-6]等需要精确定位授时信息的民用及军事领域发挥着主导作用。然而，导航卫星距离地面两万至三万千米，导航信号到达终端接收机时十分微弱。并且，民用信号系统不加密且信号频点和格式对外公开。这些因素导致卫星导航信号极易...",周雅兰 宋晓鸥,《计算机工程与应用》,2024年17期,期刊,关键词：机器学习 / 神经网络 / 全球卫星导航系统(GNSS) / 欺骗检测,下载（477）,被引（0）
基于机器学习算法的大学体育教学改革策略研究  CNKI文献,"基于机器学习算法的大学体育教学改革策略研究@袁军$昌吉学院体育与健康学院 @张毅超$昌吉学院体育与健康学院 @马拾前$昌吉学院体育与健康学院 @南浩浩$昌吉学院体育与健康学院2024年1月,习近平总书记在中共中央政治局第十一次集体学习时强调,""高质量发展需要新的生产力理论来指导""""新质生产力是创新起主导作用,摆脱传统经济增长方式、生产力发展路径,具有高科技、高效...",袁军 张毅超 马拾前 南浩浩,第二届陕西省体育科学大会论文摘要集（墙报）, 2024-06-17 13:07 ,第二届陕西省体育科学大会论文摘要集（墙报）,关键词：机器学习算法 / 大学体育教学 / 教学改革 / 个性化教学,下载（161）,被引（0）
基于小样本量李赛美特色门诊资料的多模型优化机器学习《伤寒论》研究  CNKI文献,广州中医药大学 硕士 2023 R222.2 基于小样本量李赛美特色门诊资料的多模型优化机器学习《伤寒论》研究 Research on Shanghan Lun Based on Multi-model Optimized Machine Learning Using Li Saimei's Characteristic Outpatient Data with Small ...,隋画橙 导师:李赛美,中国优秀硕士学位论文全文数据库, 2023-06-01 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 名医传承 / 模拟诊断系统 / 《伤寒论》,下载（46）,被引（0）
机器学习在土木工程《工程监理》教学中的应用改革初探  CNKI文献,新一轮的科技创新与产业革命需要工程教育来提供人才支持。目前，我国工程师的合格程度处于世界末端，新型工科人才的不足催生了对新型工程教育的探索[1]。 [1] 工程监理是研究工程建设过程中质量、进度和安全等方面的管理和监督的一门科学，在建筑工程、交通工程、水利工程等领域具有广泛的应用[2-4]。随着社会经济的快速发展和信息技术的不断更新换代，传统的课堂授课方式已经无法满足学生对《工程监理》知识深入...,唐然 冯鹏 董建辉 邵俊虎 杨华平,《砖瓦》,2024年06期,期刊,关键词：机器学习 / 工程监理 / 教学改革 / 人工智能,下载（121）,被引（0）
机器学习在电力计量能源管理与效能优化中的应用  CNKI文献,0 引言 本文探讨机器学习在电力计量能源管理与效能优化中的应用与算法。机器学习以其独特的优势在能源管理领域发挥重要作用。 1 研究背景 机器学习基本原理。机器学习是一种人工智能的方法论，它基于对数据的学习和自动优化，使计算机系统能够逐渐改进其性能，从而完成任务或达到目标。机器学习技术通过在大量数据中寻找模式，利用统计学原...,姚斌,《集成电路应用》,2024年06期,期刊,关键词：机器学习 / 电力计量 / 能源管理 / 效能优化,下载（15）,被引（0）
基于机器学习的地震灾害风险等级评估研究  CNKI文献,"防灾科技学院 硕士 2024 P315 基于机器学习的地震灾害风险等级评估研究 Research on Earthquake Disaster Risk Assessment Based on Machine Learning 宋其淇 朱红；周新 资源与环境（专业学位） 地震动力学与地球探测技术 地震,这一具有极大破坏力的自然灾难,对人类生命与财产构成了严峻挑战。中...",宋其淇 导师:朱红;周新,中国优秀硕士学位论文全文数据库, 2024-06-01 ,中国优秀硕士学位论文全文数据库,关键词：地震灾害 / 风险等级评估 / 机器学习 / 堆叠模型,下载（188）,被引（0）
基于机器学习的Fe-C-Mn-Al钢显微组织识别研究  CNKI文献,"成都大学 硕士 2024 基于机器学习的Fe-C-Mn-Al钢显微组织识别研究 Study on Microstructure Identification of Fe-C-Mn-Al Steel Based on Machine Learning 司天宇 何忠平；蒲宗山 材料与化工 在汽车制造业中,轻量化已成为全球汽车产业发展的趋势之一,因为它能显著降低能耗和减少污染...",司天宇 导师:何忠平;蒲宗山,中国优秀硕士学位论文全文数据库, 2024-05-01 ,中国优秀硕士学位论文全文数据库,关键词：轻质钢 / 机器学习 / 显微组织图像 / 特征提取,下载（81）,被引（0）
机器学习场景下的数据安全与隐私保护技术研究  CNKI文献,第一章 绪论 第一章 绪 论 1.1 研究工作的背景与意义 从 Alpha Go[1]的突破到 Chat GPT[2–5]的发展，人工智能作为新一轮科技革命和 产业变革的先锋，正在从根本上改变人们处理和分析数据的方式。全球各大国家 纷纷将占据人工智能制高点视为夺取科技优势的核心策略，推动了人工智能向着 技术快速创新和应用广泛的新时代迈进。在这一背景下，众多创新产品如自动驾 驶、智能安...,刘小源 导师:李洪伟,中国博士学位论文全文数据库, 2024-03-25 ,中国博士学位论文全文数据库,关键词：机器学习 / 分布式框架 / 特征提取 / 隐私保护技术,下载（123）,被引（0）
基于机器学习的视频点播平台客户细分与保留策略研究  CNKI文献,哈尔滨商业大学 硕士 2024 基于机器学习的视频点播平台客户细分与保留策略研究 Research on Customer Segmentation and Retention Strategy of VOD Platform Based on Machine Learning 赵全盛 赵志杰 哈尔滨商业大学 电子商务 先进的无线技术和智能移动设备使用户几乎可以从任何...,赵全盛 导师:赵志杰,中国优秀硕士学位论文全文数据库, 2024-05-27 ,中国优秀硕士学位论文全文数据库,关键词：视频点播平台 / RFM模型 / 客户保留 / 机器学习,下载（57）,被引（0）
